munic|nome_municipio|sigla_uf|lavoura_perm|lavoura_temp|lavoura_temp_desc|pastagens_naturais|pastagens_plant|matas_f_nat|matas_flor_art|terras_prod|terras_inap
1503408|Inhangapi|PA|552,3|1278|874,9|2480,8|2020,1|4559,8|22,5|2513,6|707
1503457|Ipixuna do Pará|PA|4839,9|4823|1235,6|11354,8|70984,4|156785,9|305,4|19902,7|7415,2
1503507|Irituia|PA|1803,1|6184,9|12112,9|3793,6|26794,8|28905,5|551,5|21850,1|7261
1503606|Itaituba|PA|2779,4|7346,3|8016,7|3637|31501,2|88436,5|591,9|5414,5|3542,6
1503705|Itupiranga|PA|3311,4|10859,7|11357,4|17120,9|109560,7|140935,2|628,2|15745,1|10682,8
1503754|Jacareacanga|PA|127,4|628,7|15|42,6|11487,2|27672,3|2,9|10789,7|2802,4
1503804|Jacundá|PA|403,3|2716,7|5360,4|500,5|64033,2|47221,1|216,8|5614,1|1908,4
1503903|Juruti|PA|794,2|3995,4|8387,9|18787|5019,8|52573,2|502,3|12312,9|4516,5
1504000|Limoeiro do Ajuru|PA|452,4|222,7|288,5|-|116|30960,5|29,1|370,6|2397,9
1504059|Măe do Rio|PA|377,6|863,7|1797,3|4049,5|17960,9|1601|74,9|4658,7|1542,1
1504109|Magalhăes Barata|PA|279,3|1217,2|1808,3|880,7|-|419,6|1,8|7331,4|266
1504208|Marabá|PA|1732,4|8946,2|6512,6|2092,6|263356,5|231688,9|589,6|8955,3|11501,4
1504307|Maracană|PA|1559,4|1722,7|2187,3|216,6|130,3|2013,6|0,6|8045,1|311
1504406|Marapanim|PA|995,7|2532,8|1744,4|819,5|4713,4|2130,4|25,3|2641,8|1132,2
1504455|Medicilândia|PA|14006,8|9189,2|11333,8|1360|44786,3|155389|2366,5|5275,2|1177,8
1504505|Melgaço|PA|357|2530|3476,3|342,2|365|47307,2|153,3|2686,1|1304,1
1504604|Mocajuba|PA|2344,6|2253,3|4626,4|371|788,2|11213,8|14|4396,1|2297,4
1504703|Moju|PA|10776|11893,1|23624,8|4049|10139,9|100008,3|522,4|85903,1|11473,7
1504802|Monte Alegre|PA|2410,5|10383,2|6744,5|16168,5|40251,8|98544|596,2|25562,9|5321,4
1504901|Muaná|PA|1172,9|529,4|277,8|45476,7|3157,2|81131,5|61,7|6255,2|1289,2
1504950|Nova Esperança do Piriá|PA|417,6|2874,3|1641,2|371,3|3099,2|19314,3|210,8|8047,6|1189,8
1505007|Nova Timboteua|PA|699,6|1613,7|300,3|891,2|4960,5|2806,1|-|8945,5|1387,6
1505031|Novo Progresso|PA|2095,4|3003,6|1064|6112,5|61342,8|199061|249,4|13006,1|14383,4
1505064|Novo Repartimento|PA|3037,1|14768,9|13178,5|7483|102367,8|249902|1185,8|15686,1|7358,3
1505106|Óbidos|PA|1893,9|6277,1|7085,5|25140,3|28883,7|90397,5|504,4|9805,2|6294,5
1505205|Oeiras do Pará|PA|1358,6|4061|8902,2|445|2288,5|51976|166,4|9854|2223,1
1505304|Oriximiná|PA|1518,8|3505,8|3632,7|17842,1|20388,5|65431,8|568,9|6409,7|1752,4
1505403|Ourém|PA|929,1|2017,6|2571,3|1932,2|8725,7|6254|55,6|9493,9|934,1
1505437|Ourilândia do Norte|PA|357,9|4738,4|1975,3|1628,7|135947,9|127090,2|319,3|6947,8|11798,1
1505486|Pacajá|PA|3741,8|9741,1|21028,3|6266,3|103500,7|241337,3|1818,9|16288,6|770,6
1505494|Palestina do Pará|PA|97,7|933,8|60,2|270,5|32934,7|19290,4|173|425,5|220,7
1505502|Paragominas|PA|299,6|9519,6|309,6|30324,9|104722,4|151476,9|161,6|20265|14416,2
1505536|Parauapebas|PA|2210,9|9834,4|3407,2|20695,4|151388,8|71082|221,1|2525,8|9006,7
1505551|Pau D'Arco|PA|386,7|1138,9|1753,3|14141,2|65662,3|27529,3|1669,3|4981,9|4095,6
1505601|Peixe-Boi|PA|1331,3|812,2|1903,7|2765,7|5464,8|4360,6|6,1|7697,2|2261,9
1505700|Ponta de Pedras|PA|740,9|235,5|59,9|101108,9|627,8|106905,5|4,1|1767,8|7508,9
1505809|Portel|PA|5426,9|13413,3|8278,1|10770,5|8035,5|540705|11027,3|13764,9|18773,2
1505908|Porto de Moz|PA|492,2|2598,2|6705,6|23852,7|7095|138709,1|460,3|8210,6|9836,5
1506005|Prainha|PA|540,7|3282,2|1047,1|28876,2|13910,3|117093,2|1455,9|6122,1|3628,1
1506104|Primavera|PA|425,4|876,7|1822,8|608,4|1790|1778|16,3|5380|924,7
1506138|Redençăo|PA|259,7|2590,1|5540,7|25280,7|142668,4|81230,6|877,7|6032,1|7682,7
1506161|Rio Maria|PA|558,7|2814,5|53,2|12665,1|164500,5|72962|555,4|3584,5|6323,7
1506187|Rondon do Pará|PA|1061,5|4689,3|3323,3|4400,2|252537,7|247014,3|215,3|7791|9501,3
1506195|Rurópolis|PA|2483|6388,2|6262,8|1087|32869,2|114363,8|687,4|7056,8|3864,7
1506203|Salinópolis|PA|406,4|1203,6|609,8|82|211|994,8|3|5743,9|504,5
1506302|Salvaterra|PA|52,5|454,6|19,7|11091,6|1260|2400,4|-|609,3|1791,7
1506351|Santa Bárbara do Pará|PA|3218,8|124,9|11,5|140,4|55,5|619,3|8,9|42|350,2
1506500|Santa Isabel do Pará|PA|2012,7|1579,1|838,9|1724,6|4282,4|10836,1|49,1|2894,8|1843,1
1506559|Santa Luzia do Pará|PA|889,6|4249,2|4288,1|912,8|20855,4|4819,6|126,4|21499,5|2282
1506583|Santa Maria das Barreiras|PA|549,5|9530,9|8076,1|91341|258644,2|336999,1|442|9404,6|18037,2
1506609|Santa Maria do Pará|PA|457,8|2188,3|1359,6|2653,9|5245,3|3384,6|106,3|9087,5|1310,3
1506708|Santana do Araguaia|PA|666,7|6884,8|1108,1|14685,9|311102,8|552040,2|812,7|20105,8|13006,7
1506807|Santarém|PA|9518,3|21119,6|21588,6|16187,8|58636,2|273535,7|1568,4|57681,9|11942,9
1506906|Santarém Novo|PA|497,7|819,5|326,2|1613,1|3131,8|2105,3|22|299,8|202,9
1507003|Santo Antônio do Tauá|PA|2085,8|1110,7|163,4|901,3|2035,9|6130,9|41,1|3328|1011,9
1507102|Săo Caetano de Odivelas|PA|602,6|983,5|760,8|1921,1|2179|4371,4|8,6|1496,4|443,2
1507151|Săo Domingos do Araguaia|PA|879|3683,4|7079,6|706,4|58176,6|32402,8|473,1|5527,8|1898,7
1507201|Săo Domingos do Capim|PA|2333,3|5370,9|5846,3|2516|5575,9|13238,8|172|16874,5|3035,5
1507300|Săo Félix do Xingu|PA|1410,3|17357,1|1443,2|4274,5|165881|536517|533,9|1833,8|12843,8
1507409|Săo Francisco do Pará|PA|2272,3|2051,4|2420,4|2732,7|5395,9|2046|151,7|10358,5|2039
1507458|Săo Geraldo do Araguaia|PA|3097,5|8822,6|4170,9|7214,4|235430,5|99071,5|1089,4|9294,6|11132,2
1507474|Săo Joăo de Pirabas|PA|365,5|1111,2|35,7|747,7|717|2431,3|48,2|9333,6|1018,6
1507508|Săo Joăo do Araguaia|PA|1133,1|2213,4|6668,6|2891,6|32845|41181,2|227,2|4355,8|2075,2
1507607|Săo Miguel do Guamá|PA|916,8|4224,1|4064,2|3453,1|16438,7|6263,1|239,8|28781,2|3846,2
1507706|Săo Sebastiăo da Boa Vista|PA|267,3|1040,2|150,4|11|45,6|24509,8|34,7|415,6|1822,3
1507805|Senador José Porfírio|PA|487|8308,2|2148,8|1066|33338,6|151650,1|114|1420,8|197,4
1507904|Soure|PA|469,4|41,7|80|147386,4|816|21557,1|-|4368,5|17623,9
1507953|Tailândia|PA|15355,7|2355,2|522,9|4591,2|46499,2|121660,8|181,7|844,7|8200
1507961|Terra Alta|PA|569,2|516,5|10,7|2891,5|710|640,5|-|4307,4|66,5
1507979|Terra Santa|PA|184|702,9|840,2|21687,4|7077,1|18181,7|112,2|4940|2361,4
1508001|Tomé-Açu|PA|8792,8|6175,6|11308,3|5433,9|67615,9|189268,2|343,1|44933,4|7089,2
1508050|Trairăo|PA|3131,7|5114,1|3344|561,8|16175,9|98667,1|352|2631,6|3005,7
1508084|Tucumă|PA|1634,7|10983|3784|6396,2|107132,5|84255,4|860,9|654,5|2440,1
1508100|Tucuruí|PA|689,4|1814,9|123,1|7250,2|39079,5|54077,8|1,9|618,6|1918,8
1508126|Ulianópolis|PA|7,3|653,8|7242,8|8592,4|51769,5|113183|48,4|5447,9|2761,4
